,date,imdbid,title,year,visible,dubious,rating,id,submitterid
75,2009-12-07 23:20:07,0361748,Inglourious Basterds,2009,1,1,3,557,277
76,2017-11-29 03:38:30,2380307,Coco,2017,1,0,3,7930,15462
77,2011-03-27 02:59:06,0082096,Das Boot,1981,1,0,0,2143,2950
78,2022-05-29 16:35:37,1745960,Top Gun: Maverick,2022,1,0,3,10333,20129
79,2019-04-25 11:11:58,4154796,Avengers: Endgame,2019,1,0,3,8720,17090
80,2009-05-18 07:58:36,0119698,Mononoke-hime,1997,1,,3,326,21
81,2015-06-05 05:32:48,0087843,Once Upon A Time In America,1984,1,0,1,6293,12180
82,2009-12-28 23:23:09,0119217,Good Will Hunting,1997,1,0,0,623,354
83,2016-12-15 06:28:15,5311514,Kimi no na wa.,2016,1,0,3,7328,14309
84,2011-02-15 17:34:07,0180093,Requiem for a Dream,2000,1,0,3,2050,2739
85,2010-06-18 23:09:00,0435761,Toy Story 3,2010,1,1,3,961,964
86,2009-12-28 04:13:45,0045152,Singin&#39; in the Rain,1952,1,0,3,612,342
87,2012-02-20 19:06:39,1187043,3 Idiots,2009,1,0,1,3066,4789
89,2010-01-26 22:35:13,0086190,Star Wars: Episode VI - Return of the Jedi,1983,1,0,1,671,422
90,2010-06-08 09:14:13,0062622,2001: A Space Odyssey,1968,1,0,0,919,842
91,2008-08-02 19:38:09,0338013,Eternal Sunshine of the Spotless Mind,2004,1,,2,133,1
92,2008-07-19 00:00:00,0105236,Reservoir Dogs,1992,1,0,0,18,1
93,2020-09-28 09:38:28,8267604,Capernaum,2018,1,0,3,9287,18342
94,2013-04-23 19:52:00,2106476,Jagten,2012,1,0,2,4081,7021
95,2010-07-23 00:55:07,0033467,Citizen Kane,1941,1,0,1,1266,1367
96,2010-07-03 14:58:49,0056172,Lawrence of Arabia,1962,1,0,0,1042,1084
97,2009-12-28 04:11:29,0022100,M,1931,1,0,3,610,340
98,2015-03-26 19:19:48,0091251,Come and See,1985,1,0,0,6165,11800
99,2011-04-23 19:08:51,0053125,North By Northwest,1959,1,0,1,2228,3117
100,2009-12-28 04:09:49,0052357,Vertigo,1958,1,0,1,609,339
101,2010-07-03 14:40:23,0211915,Amelie,2001,1,0,3,1038,1080
102,2010-07-03 14:41:53,0066921,A Clockwork Orange,1971,1,0,1,1039,1081
103,2011-02-05 22:30:48,0053604,"Apartment, The",1960,1,0,3,1995,2664
104,2010-08-01 13:06:26,0036775,Double Indemnity,1944,1,0,3,1416,1585
105,2010-04-04 11:54:35,0093058,Full Metal Jacket,1987,1,0,0,720,499
106,2016-09-29 13:54:48,0044741,Ikiru,1952,1,0,1,7162,14042
107,2020-08-06 00:09:36,8503618,Hamilton,2020,1,0,3,9225,18217
108,2014-03-25 03:28:14,0086250,Scarface,1983,1,0,1,5321,9751
109,2011-05-20 20:24:37,0070735,"Sting, The",1973,1,0,1,2316,3333
110,2010-07-07 18:20:21,0056592,To Kill a Mockingbird,1962,1,0,3,1108,1158
111,2010-07-03 14:35:40,0113277,Heat,1995,1,0,2,1037,1079
112,2009-06-03 19:17:31,1049413,Up,2009,1,,1,334,1
113,2011-04-23 18:49:16,0075314,Taxi Driver,1976,1,0,1,2223,3112
114,2011-04-14 02:51:13,1255953,Incendies,2010,1,0,3,2188,3064
115,2010-07-23 00:56:19,0017136,Metropolis,1927,1,0,1,1267,1368
116,2011-09-01 21:31:52,1832382,A Separation,2011,1,0,3,2649,3986
117,2011-04-23 20:21:53,0119488,L.A. Confidential,1997,1,0,1,2236,3125
118,2010-08-01 13:04:01,0208092,Snatch.,2000,1,0,0,1414,1583
119,2015-10-26 15:39:47,0040522,Bicycle Thieves,1948,1,0,2,6517,12718
120,2010-01-21 21:15:56,0095016,Die Hard,1988,1,0,3,619,402
121,2010-07-04 03:11:38,0097576,Indiana Jones and the Last Crusade,1989,1,0,0,1049,1092
122,2020-01-13 19:28:36,8579674,1917,2019,1,0,0,8962,17552
124,2010-11-10 23:50:55,0363163,Der Untergang (Downfall),2004,1,1,3,1748,2214
125,2012-07-10 08:11:46,0059578,For a Few Dollars More,1965,1,0,0,3413,5498
126,2008-07-20 00:00:00,0372784,Batman Begins,2005,1,0,1,40,1
127,2017-01-04 21:50:40,5074352,Dangal,2016,1,0,3,7374,14384
128,2013-03-01 08:25:02,0012349,"Kid, The",1921,1,0,0,3945,6689
129,2011-02-14 12:34:21,0053291,Some Like It Hot,1959,1,0,3,2023,2705
130,2008-08-03 07:10:33,0042192,All About Eve,1950,1,,3,139,4
132,2018-12-05 16:44:46,6966692,Green Book,2018,1,0,1,8512,16659
133,2013-12-06 22:41:48,0993846,"Wolf of Wall Street, The",2013,1,0,3,4922,8927
135,2011-05-27 20:25:49,0089881,Ran,1985,1,0,1,2352,3404
136,2011-04-23 18:40:16,0112641,Casino,1995,1,1,2,2220,3109
137,2009-08-07 01:10:39,0457430,El laberinto del fauno (Pan's Labyrinth),2006,1,0,3,421,88
138,2016-07-29 08:43:19,0105695,Unforgiven,1992,1,0,3,7006,13777
139,2008-09-05 15:21:38,0469494,There Will Be Blood,2007,1,,0,177,11
140,2021-12-21 02:14:30,10872600,Spider-Man: No Way Home,2021,1,1,3,10166,19768
141,2008-08-11 15:57:10,0120382,"Truman Show, The",1998,1,,1,165,1
142,2010-04-18 15:21:06,0167404,"Sixth Sense, The",1999,1,1,3,742,527
143,2008-09-09 17:39:12,0268978,A Beautiful Mind,2001,1,,1,178,12
144,2010-01-22 01:59:53,0055630,Yojimbo,1961,1,0,1,660,408
145,2010-12-11 08:09:31,0071853,Monty Python and the Holy Grail,1975,1,1,2,1839,2344
146,2012-05-08 22:10:22,0040897,"Treasure of the Sierra Madre, The",1948,1,0,0,3239,5154
147,2010-04-04 10:59:23,1130884,Shutter Island,2010,1,0,1,716,495
148,2008-07-31 00:27:47,0107290,Jurassic Park,1993,1,,3,109,1
149,2010-07-28 20:54:44,0042876,Rashomon,1950,1,0,0,1402,1540
150,2008-10-23 15:45:51,0057115,"Great Escape, The",1963,1,,0,202,17
151,2009-09-17 22:10:08,0266697,Kill Bill: Vol. 1,2003,1,0,3,508,201
152,2010-02-18 09:40:48,0477348,No Country for Old Men,2007,1,1,3,686,443
153,2010-05-03 14:24:45,0266543,Finding Nemo,2003,1,0,1,778,579
